left,right,pearson,absPearson
deliveryProbability,linkLearningRate,-0.446669,0.446669
penaltyLambda,switchHysteresis,0.425111,0.425111
switchHysteresisRatio,linkLearningRate,0.386377,0.386377
chargeDropPerHop,decayIntervalSteps,0.332997,0.332997
decayPercent,linkMemory,-0.313056,0.313056
qForward,switchHysteresis,0.303011,0.303011
deliveryProbability,penaltyLambda,-0.296594,0.296594
penaltyLambda,chargeSpreadFactor,-0.287292,0.287292
chargeDropPerHop,linkMemory,-0.281139,0.281139
decayIntervalSteps,linkMemory,-0.272683,0.272683
deliveryProbability,switchHysteresis,-0.260877,0.260877
deliveryProbability,chargeSpreadFactor,0.240101,0.240101
switchHysteresis,switchHysteresisRatio,-0.228132,0.228132
rootSourceCharge,decayIntervalSteps,-0.223352,0.223352
qForward,penaltyLambda,0.219882,0.219882
switchHysteresis,decayIntervalSteps,0.216455,0.216455
switchHysteresisRatio,chargeDropPerHop,0.213981,0.213981
linkMemory,linkLearningRate,-0.195676,0.195676
chargeSpreadFactor,decayIntervalSteps,-0.194071,0.194071
rootSourceCharge,penaltyLambda,0.189140,0.189140
linkLearningRate,linkBonusMax,-0.188148,0.188148
switchHysteresisRatio,chargeSpreadFactor,0.156776,0.156776
switchHysteresis,chargeDropPerHop,0.155005,0.155005
switchHysteresis,linkMemory,-0.154695,0.154695
deliveryProbability,rootSourceCharge,-0.150030,0.150030
chargeDropPerHop,decayPercent,0.147052,0.147052
chargeSpreadFactor,linkLearningRate,-0.146282,0.146282
chargeSpreadFactor,linkMemory,0.146176,0.146176
qForward,chargeSpreadFactor,0.142516,0.142516
penaltyLambda,switchHysteresisRatio,-0.140091,0.140091
switchHysteresis,chargeSpreadFactor,-0.137325,0.137325
linkMemory,linkBonusMax,0.130730,0.130730
rootSourceCharge,switchHysteresisRatio,-0.127829,0.127829
switchHysteresisRatio,linkMemory,-0.125609,0.125609
chargeSpreadFactor,decayPercent,-0.123909,0.123909
qForward,deliveryProbability,-0.119824,0.119824
qForward,switchHysteresisRatio,-0.118077,0.118077
deliveryProbability,linkBonusMax,0.117065,0.117065
qForward,linkLearningRate,0.115364,0.115364
chargeDropPerHop,linkLearningRate,-0.108837,0.108837
qForward,decayIntervalSteps,0.108039,0.108039
penaltyLambda,chargeDropPerHop,0.105279,0.105279
rootSourceCharge,linkMemory,-0.102891,0.102891
switchHysteresisRatio,decayIntervalSteps,-0.100710,0.100710
chargeDropPerHop,linkBonusMax,-0.092336,0.092336
qForward,linkMemory,-0.089472,0.089472
rootSourceCharge,chargeSpreadFactor,-0.086990,0.086990
switchHysteresis,decayPercent,-0.085649,0.085649
deliveryProbability,linkMemory,0.077009,0.077009
switchHysteresis,linkLearningRate,-0.073375,0.073375
penaltyLambda,decayIntervalSteps,0.072773,0.072773
penaltyLambda,linkBonusMax,-0.058380,0.058380
rootSourceCharge,linkLearningRate,0.057279,0.057279
qForward,chargeDropPerHop,0.055968,0.055968
qForward,linkBonusMax,-0.053814,0.053814
switchHysteresis,linkBonusMax,-0.053682,0.053682
switchHysteresisRatio,decayPercent,0.048841,0.048841
decayIntervalSteps,linkBonusMax,0.046730,0.046730
qForward,decayPercent,0.044159,0.044159
deliveryProbability,decayIntervalSteps,-0.043106,0.043106
penaltyLambda,decayPercent,0.042894,0.042894
penaltyLambda,linkLearningRate,0.042733,0.042733
decayIntervalSteps,decayPercent,-0.042667,0.042667
decayPercent,linkLearningRate,-0.042167,0.042167
rootSourceCharge,chargeDropPerHop,0.040619,0.040619
chargeDropPerHop,chargeSpreadFactor,-0.040187,0.040187
deliveryProbability,switchHysteresisRatio,-0.039401,0.039401
rootSourceCharge,decayPercent,0.033847,0.033847
chargeSpreadFactor,linkBonusMax,-0.030893,0.030893
penaltyLambda,linkMemory,0.029427,0.029427
qForward,rootSourceCharge,0.026728,0.026728
deliveryProbability,chargeDropPerHop,-0.025911,0.025911
switchHysteresisRatio,linkBonusMax,-0.023173,0.023173
decayIntervalSteps,linkLearningRate,-0.020615,0.020615
decayPercent,linkBonusMax,-0.015429,0.015429
rootSourceCharge,switchHysteresis,0.014292,0.014292
deliveryProbability,decayPercent,0.013022,0.013022
rootSourceCharge,linkBonusMax,-0.000092,0.000092
