parameter,outcome,pearson,spearman
qForward,score,0.000000,0.000000
qForward,theoremPassRate,0.000000,0.000000
qForward,assumptionsPassRate,0.000000,0.000000
qForward,coverageAvg,0.000000,0.000000
qForward,duplicateDrop,0.000000,0.000000
qForward,eligibleTailRatio,0.000000,0.000000
qForward,parentChangeAvg,0.000000,0.000000
qForward,flappingAvg,0.000000,0.000000
deliveryProbability,score,0.000000,0.000000
deliveryProbability,theoremPassRate,0.000000,0.000000
deliveryProbability,assumptionsPassRate,0.000000,0.000000
deliveryProbability,coverageAvg,0.000000,0.000000
deliveryProbability,duplicateDrop,0.000000,0.000000
deliveryProbability,eligibleTailRatio,0.000000,0.000000
deliveryProbability,parentChangeAvg,0.000000,0.000000
deliveryProbability,flappingAvg,0.000000,0.000000
rootSourceCharge,score,0.000000,0.000000
rootSourceCharge,theoremPassRate,0.000000,0.000000
rootSourceCharge,assumptionsPassRate,0.000000,0.000000
rootSourceCharge,coverageAvg,0.000000,0.000000
rootSourceCharge,duplicateDrop,0.000000,0.000000
rootSourceCharge,eligibleTailRatio,0.000000,0.000000
rootSourceCharge,parentChangeAvg,0.000000,0.000000
rootSourceCharge,flappingAvg,0.000000,0.000000
penaltyLambda,score,0.000000,0.000000
penaltyLambda,theoremPassRate,0.000000,0.000000
penaltyLambda,assumptionsPassRate,0.000000,0.000000
penaltyLambda,coverageAvg,0.000000,0.000000
penaltyLambda,duplicateDrop,0.000000,0.000000
penaltyLambda,eligibleTailRatio,0.000000,0.000000
penaltyLambda,parentChangeAvg,0.000000,0.000000
penaltyLambda,flappingAvg,0.000000,0.000000
switchHysteresis,score,0.000000,0.000000
switchHysteresis,theoremPassRate,0.000000,0.000000
switchHysteresis,assumptionsPassRate,0.000000,0.000000
switchHysteresis,coverageAvg,0.000000,0.000000
switchHysteresis,duplicateDrop,0.000000,0.000000
switchHysteresis,eligibleTailRatio,0.000000,0.000000
switchHysteresis,parentChangeAvg,0.000000,0.000000
switchHysteresis,flappingAvg,0.000000,0.000000
switchHysteresisRatio,score,0.000000,0.000000
switchHysteresisRatio,theoremPassRate,0.000000,0.000000
switchHysteresisRatio,assumptionsPassRate,0.000000,0.000000
switchHysteresisRatio,coverageAvg,0.000000,0.000000
switchHysteresisRatio,duplicateDrop,0.000000,0.000000
switchHysteresisRatio,eligibleTailRatio,0.000000,0.000000
switchHysteresisRatio,parentChangeAvg,0.000000,0.000000
switchHysteresisRatio,flappingAvg,0.000000,0.000000
chargeDropPerHop,score,0.000000,0.000000
chargeDropPerHop,theoremPassRate,0.000000,0.000000
chargeDropPerHop,assumptionsPassRate,0.000000,0.000000
chargeDropPerHop,coverageAvg,0.000000,0.000000
chargeDropPerHop,duplicateDrop,0.000000,0.000000
chargeDropPerHop,eligibleTailRatio,0.000000,0.000000
chargeDropPerHop,parentChangeAvg,0.000000,0.000000
chargeDropPerHop,flappingAvg,0.000000,0.000000
chargeSpreadFactor,score,0.000000,0.000000
chargeSpreadFactor,theoremPassRate,0.000000,0.000000
chargeSpreadFactor,assumptionsPassRate,0.000000,0.000000
chargeSpreadFactor,coverageAvg,0.000000,0.000000
chargeSpreadFactor,duplicateDrop,0.000000,0.000000
chargeSpreadFactor,eligibleTailRatio,0.000000,0.000000
chargeSpreadFactor,parentChangeAvg,0.000000,0.000000
chargeSpreadFactor,flappingAvg,0.000000,0.000000
decayIntervalSteps,score,0.000000,0.000000
decayIntervalSteps,theoremPassRate,0.000000,0.000000
decayIntervalSteps,assumptionsPassRate,0.000000,0.000000
decayIntervalSteps,coverageAvg,0.000000,0.000000
decayIntervalSteps,duplicateDrop,0.000000,0.000000
decayIntervalSteps,eligibleTailRatio,0.000000,0.000000
decayIntervalSteps,parentChangeAvg,0.000000,0.000000
decayIntervalSteps,flappingAvg,0.000000,0.000000
decayPercent,score,0.000000,0.000000
decayPercent,theoremPassRate,0.000000,0.000000
decayPercent,assumptionsPassRate,0.000000,0.000000
decayPercent,coverageAvg,0.000000,0.000000
decayPercent,duplicateDrop,0.000000,0.000000
decayPercent,eligibleTailRatio,0.000000,0.000000
decayPercent,parentChangeAvg,0.000000,0.000000
decayPercent,flappingAvg,0.000000,0.000000
linkMemory,score,0.000000,0.000000
linkMemory,theoremPassRate,0.000000,0.000000
linkMemory,assumptionsPassRate,0.000000,0.000000
linkMemory,coverageAvg,0.000000,0.000000
linkMemory,duplicateDrop,0.000000,0.000000
linkMemory,eligibleTailRatio,0.000000,0.000000
linkMemory,parentChangeAvg,0.000000,0.000000
linkMemory,flappingAvg,0.000000,0.000000
linkLearningRate,score,0.000000,0.000000
linkLearningRate,theoremPassRate,0.000000,0.000000
linkLearningRate,assumptionsPassRate,0.000000,0.000000
linkLearningRate,coverageAvg,0.000000,0.000000
linkLearningRate,duplicateDrop,0.000000,0.000000
linkLearningRate,eligibleTailRatio,0.000000,0.000000
linkLearningRate,parentChangeAvg,0.000000,0.000000
linkLearningRate,flappingAvg,0.000000,0.000000
linkBonusMax,score,0.000000,0.000000
linkBonusMax,theoremPassRate,0.000000,0.000000
linkBonusMax,assumptionsPassRate,0.000000,0.000000
linkBonusMax,coverageAvg,0.000000,0.000000
linkBonusMax,duplicateDrop,0.000000,0.000000
linkBonusMax,eligibleTailRatio,0.000000,0.000000
linkBonusMax,parentChangeAvg,0.000000,0.000000
linkBonusMax,flappingAvg,0.000000,0.000000
